,Huc_8,Watershed,Huc_12,Huc_12Name,Type,Category,Scientific_Name,Common_Name,Global_Rank,State_Rank,Fed_Status,State_Status,Habitat,Wet_Habitat_Flag
1032,5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Epilobium ciliatum,Hairy Willow-herb,G5,S1,--,T,Mountain Balds,Possible
1033,5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Scleria muehlenbergii,Muhlenberg's Nutrush,G5,S2,--,T,Wet Meadows,Possible
1034,5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Platanthera integrilabia,White Fringeless Orchid,G2G3,S2S3,LT,E,Acidic Seeps And Stream Heads,Possible
1035,5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Helianthus occidentalis,Naked-stem Sunflower,G5,S2,--,S,Limestone Glades And Barrens,Upland
1036,5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Fimbristylis puberula,Hairy Fimbristylis,G5,S1S2,--,T,Wet Prairies And Woods,Possible
1037,5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Pedicularis lanceolata,Swamp Lousewort,G5,S1S2,--,S,Wet Acidic Barrens And Seeps,Possible
1038,5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Carex lonchocarpa,Southern Long Sedge,G5,S2,--,E,Wet Soils In Open Areas,Possible
1039,5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Poa saltuensis,Drooping Bluegrass,G5,S1,--,T,Rich Oak Woods,Possible
1040,5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Drosera intermedia,Spoonleaf Sundew,G5,S2,--,S,Acidic Wetlands,Possible
1041,5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Drosera capillaris,Pink Sundew,G5,S1,--,T,Acidic Wetlands,Possible
1042,5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Ribes curvatum,Granite Gooseberry,G4,S1,--,T,Rocky Woods,Upland
1043,5130108,Caney Fork River,51301080102,Bee Creek Upper,Vascular Plant,Flowering Plant,Ribes curvatum,Granite Gooseberry,G4,S1,--,T,Rocky Woods,Upland
1044,5130108,Caney Fork River,51301080102,Bee Creek Upper,Vascular Plant,Flowering Plant,Platanthera cristata,Yellow Crested Orchid,G5,S2S3,--,S,Acidic Seeps And Stream Heads,Possible
1045,5130108,Caney Fork River,51301080102,Bee Creek Upper,Vascular Plant,Flowering Plant,Drosera brevifolia,Dwarf Sundew,G5,S2,--,T,Wet Barrens And Ecotones,Possible
1046,5130108,Caney Fork River,51301080102,Bee Creek Upper,Vertebrate Animal,Reptile,Pituophis melanoleucus melanoleucus,Northern Pinesnake,G4T4,S3,--,T,"Well-drained sandy soils in pine/pine-oak woods; dry mountain ridges; E portions of west TN, E to lower elev of the Appalachians.",Upland
1047,5130108,Caney Fork River,51301080102,Bee Creek Upper,Invertebrate Animal,Crustacean,Cambarus pristinus,Pristine Crayfish,G2,S2,--,E,Under cover in small-large size streams; headwaters of Caney Fork River & abutting Sequatchie River tributaries; Cumberland Plateau.,Aquatic
1048,5130108,Caney Fork River,51301080102,Bee Creek Upper,Vascular Plant,Flowering Plant,Carex lonchocarpa,Southern Long Sedge,G5,S2,--,E,Wet Soils In Open Areas,Possible
1049,5130108,Caney Fork River,51301080102,Bee Creek Upper,Vascular Plant,Flowering Plant,Helianthus occidentalis,Naked-stem Sunflower,G5,S2,--,S,Limestone Glades And Barrens,Upland
1050,5130108,Caney Fork River,51301080102,Bee Creek Upper,Vascular Plant,Flowering Plant,Platanthera integrilabia,White Fringeless Orchid,G2G3,S2S3,LT,E,Acidic Seeps And Stream Heads,Possible
1051,5130108,Caney Fork River,51301080102,Bee Creek Upper,Vascular Plant,Flowering Plant,Carex buxbaumii,Brown Bog Sedge,G5,S1,--,E,Swamps,Possible
1052,5130108,Caney Fork River,51301080103,Bee Creek Lower,Vertebrate Animal,Amphibian,Hemidactylium scutatum,Four-toed Salamander,G5,S3,--,D,"Woodland swamps, shallow depressions, & sphagnum mats on acidic soils; middle & east Tennessee.",Possible
1053,5130108,Caney Fork River,51301080103,Bee Creek Lower,Vertebrate Animal,Fish,Typhlichthys subterraneus,Southern Cavefish,G4,S3,--,D,"Aquatic cave obligate; cave streams, karst waters, and water supply wells; reported from all karst regions excluding RV & BR.",Aquatic
1054,5130108,Caney Fork River,51301080103,Bee Creek Lower,Vertebrate Animal,Mammal,Myotis leibii,Eastern Small-footed Myotis,G4,S2S3,--,D,"Hibernates in caves & mines; also uses abandoned buildings, bridges, and barns seasonally.",Upland
1055,5130108,Caney Fork River,51301080103,Bee Creek Lower,Vascular Plant,Flowering Plant,Platanthera integrilabia,White Fringeless Orchid,G2G3,S2S3,LT,E,Acidic Seeps And Stream Heads,Possible
1056,5130108,Caney Fork River,51301080103,Bee Creek Lower,Invertebrate Animal,Crustacean,Orconectes australis,Southern Cave Crayfish,G5,S3,--,"Rare, Not State Listed",Aquatic cave obligate; subterranean streams & pools; Eastern Highland Rim escarpment to the Cumberland Plateau.,Aquatic
1057,5130108,Caney Fork River,51301080103,Bee Creek Lower,Vertebrate Animal,Mammal,Myotis grisescens,Gray Myotis,G4,S2,LE,E,Cave obligate year-round; frequents forested areas; migratory.,Upland
1058,5130108,Caney Fork River,51301080103,Bee Creek Lower,Vertebrate Animal,Mammal,Neotoma magister,Allegheny Woodrat,G3G4,S3,--,D,"Outcrops, cliffs, talus slopes, crevices, sinkholes, caves & karst.",Upland
1059,5130108,Caney Fork River,51301080103,Bee Creek Lower,Vertebrate Animal,Mammal,Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,G3G4,S3,--,D,"Caves, hollow trees, abandoned buildings; often associated with forested areas.",Upland
1060,5130108,Caney Fork River,51301080103,Bee Creek Lower,Vascular Plant,Flowering Plant,Ribes curvatum,Granite Gooseberry,G4,S1,--,T,Rocky Woods,Upland
1061,5130108,Caney Fork River,51301080103,Bee Creek Lower,Invertebrate Animal,Crustacean,Cambarus pristinus,Pristine Crayfish,G2,S2,--,E,Under cover in small-large size streams; headwaters of Caney Fork River & abutting Sequatchie River tributaries; Cumberland Plateau.,Aquatic
1062,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vascular Plant,Flowering Plant,Hydrocotyle americana,American Water-pennywort,G5,S1,--,E,Wet Soils And Pools,Possible
1063,5130108,Caney Fork River,51301080202,Cane Creek Upper,Nonvascular Plant,Non-Vascular Plant,Metzgeria uncigera,Metzgeria,G3,S1,--,S,Bark Of American Holly,Upland
1064,5130108,Caney Fork River,51301080202,Cane Creek Upper,Nonvascular Plant,Non-Vascular Plant,Cololejeunea ornata,Ornate Cololejeunea,G2G4,S1,--,T,Sinks & High Humidity Areas On Limestone,Possible
1065,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vertebrate Animal,Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,G5T5,S3,--,D,"Dry upland areas including brushy, cut-over woodlands and grassy fields; nearly statewide but obscure; fossorial.",Upland
1066,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vascular Plant,Flowering Plant,Hypericum nudiflorum,Early St. Johnswort,G5,S2,--,S,Acidic Wet And/Or Open Areas,Possible
1067,5130108,Caney Fork River,51301080202,Cane Creek Upper,Invertebrate Animal,Crustacean,Cambarus pristinus,Pristine Crayfish,G2,S2,--,E,Under cover in small-large size streams; headwaters of Caney Fork River & abutting Sequatchie River tributaries; Cumberland Plateau.,Aquatic
1068,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vascular Plant,Flowering Plant,Spiraea virginiana,Virginia Spiraea,G2,S2,LT,E,Stream Bars And Ledges,Possible
1069,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vertebrate Animal,Mammal,Sorex hoyi,American Pygmy Shrew,G5,S2,--,"Rare, Not State Listed","Found in a variety of habitats, with moist sites preferred over dry areas; middle and east Tennessee.",Upland
1070,5130108,Caney Fork River,51301080202,Cane Creek Upper,Nonvascular Plant,Non-Vascular Plant,Plagiochila punctata,Spotty featherwort,G5,S1,--,S,Sandstone Bluffs And Cliffs,Upland
1071,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vascular Plant,Flowering Plant,Potamogeton epihydrus,Nuttall's Pondweed,G5,S1S2,--,S,Lakes And Streams,Aquatic
1072,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vascular Plant,Flowering Plant,Poa saltuensis,Drooping Bluegrass,G5,S1,--,T,Rich Oak Woods,Possible
1073,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vascular Plant,Flowering Plant,Panax quinquefolius,American Ginseng,G3G4,S3S4,--,S-CE,Rich Woods,Possible
1074,5130108,Caney Fork River,51301080202,Cane Creek Upper,Nonvascular Plant,Non-Vascular Plant,Lejeunea blomquistii,Blomquist Leafy Liverwort,G1G2,S1S2,--,S,Mid Elev. Gorges On Rock Or Bark,Upland
1075,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vertebrate Animal,Reptile,Pituophis melanoleucus melanoleucus,Northern Pinesnake,G4T4,S3,--,T,"Well-drained sandy soils in pine/pine-oak woods; dry mountain ridges; E portions of west TN, E to lower elev of the Appalachians.",Upland
1076,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vertebrate Animal,Mammal,Neotoma magister,Allegheny Woodrat,G3G4,S3,--,D,"Outcrops, cliffs, talus slopes, crevices, sinkholes, caves & karst.",Upland
1077,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vascular Plant,Flowering Plant,Fimbristylis puberula,Hairy Fimbristylis,G5,S1S2,--,T,Wet Prairies And Woods,Possible
1078,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vascular Plant,Flowering Plant,Eleocharis equisetoides,Horse-tail Spike-rush,G4,S1,--,E,Pond Edges And Open Wetlands,Possible
1079,5130108,Caney Fork River,51301080202,Cane Creek Upper,Invertebrate Animal,Insect,Speyeria diana,Diana Fritillary,G2G3,S3,--,"Rare, Not State Listed","Fields, edges, and openings in moist, rich, forested mountains and valleys; Blue Ridge & Cumberland Plateau generally.",Upland
1080,5130108,Caney Fork River,51301080202,Cane Creek Upper,Vertebrate Animal,Bird,Aquila chrysaetos,Golden Eagle,G5,S1,--,D,"Open country, open wooded country, and barren areas, especially in hilly or mountainous regions.",Upland
