County,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed. Status,State Status,Habitat,Wet Habitat Flag
Anderson,Invertebrate Animal,Arachnid,Hesperochernes mirabilis,Southeastern Cave Pseudoscorpion,G5,S3,--,"Rare, Not State Listed",Terrestrial cave obligate; woodrat debris in caves; middle Tennessee.,Upland
Anderson,Invertebrate Animal,Mollusc,Cyprogenia stegaria,Fanshell,G1,S1,"LE, XN",E,Medium to large streams and rivers with coarse sand and gravel substrates; Cumberland and Tennessee river systems.,Aquatic
Anderson,Vertebrate Animal,Bird,Limnothlypis swainsonii,Swainson's Warbler,G4,S3,--,D,"Mature, rich, damp, deciduous floodplain and swamp forests.",Possible
Anderson,Vertebrate Animal,Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,G5T5,S3,--,D,"Dry upland areas including brushy, cut-over woodlands and grassy fields; nearly statewide but obscure; fossorial.",Upland
Anderson,Vertebrate Animal,Bird,Vermivora chrysoptera,Golden-winged Warbler,G4,S3B,--,T,Early successional habitats in foothill regions of Appalachians.,Upland
Anderson,Invertebrate Animal,Mollusc,Dromus dromas,Dromedary Pearlymussel,G1,S1,"LE, XN",E,"Medium-large rivers with riffles and shoals w/ relatively firm rubble, gravel, and stable substrates; Tennessee & Cumberland systems.",Aquatic
Anderson,Vertebrate Animal,Mammal,Synaptomys cooperi,Southern Bog Lemming,G5,S4,--,D,"Marshy meadows, wet balds, & rich upland forests.",Possible
Anderson,Invertebrate Animal,Mollusc,Io fluvialis,Spiny Riversnail,G1G2,S2,--,"Rare, Not State Listed",Shallow waters of shoals that are rapid to moderate and well-oxygenated; Tennessee River & main tributaries; E Tennessee.,Aquatic
Anderson,Vascular Plant,Flowering Plant,Iris fulva,Copper Iris,G5,S2,--,T,Bottomlands,Possible
Anderson,Vascular Plant,Flowering Plant,Parnassia grandifolia,Large-leaved Grass-of-parnassus,G3,S3,--,S,Calcareous Seeps,Possible
Anderson,Vertebrate Animal,Amphibian,Cryptobranchus alleganiensis,Hellbender,G3,S3,No Status,E,"Rocky, clear creeks and rivers with large shelter rocks.",Aquatic
Anderson,Invertebrate Animal,Insect,Pseudanophthalmus paynei,Payne's Cave Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; northern Ridge & Valley; reported from Anderson County.,Upland
Anderson,Vertebrate Animal,Fish,Noturus flavipinnis,Yellowfin Madtom,G1,S1,"LT,XN",T,Medium size to large creeks and small rivers that are unpolluted & relatively unsilted; upper Tennessee River watershed.,Aquatic
Anderson,Vascular Plant,Flowering Plant,Fothergilla major,Mountain Witch-alder,G3,S2,--,T,Rocky Slopes And River Banks,Possible
