Huc 8,Huc 8 Name,Huc 12,Huc 12 Name,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed Status,State Status,Habitat Description,Wet Habitat Flag
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Vertebrate Animal,Fish,Notropis asperifrons,Burrhead Shiner,G4,S2,--,"Rare, Not State Listed",Rocky and sandy pools and runs of clear creeks and small rivers; Conasauga River watershed.,Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Vertebrate Animal,Fish,Notropis stilbius,Silverstripe Shiner,G4,S3,--,"Rare, Not State Listed",Still or gently flowing pool areas in the Conasauga River & larger tributaries.,Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Invertebrate Animal,Mollusc,Elliptio arctata,Delicate Spike,G2G3Q,S2,--,"Rare, Not State Listed","In substrates of coarse sand, gravel, and cobble; prefers strong current; Conasauga River; Polk & Bradley counties; Ridge & Valley.",Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Vertebrate Animal,Fish,Notropis chrosomus,Rainbow Shiner,G4,S3,--,D,"Small, clear, often spring-fed streams with sand and gravel substrates; Conasauga River watershed.",Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Invertebrate Animal,Mollusc,Villosa vibex,Southern Rainbow,G5,S2,--,"Rare, Not State Listed","Mud or soft sand in small rivers & creeks in areas with moderate current; Conasauga, Hatchie, and Wolf (Miss. R.) river systems.",Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Invertebrate Animal,Mollusc,Villosa vanuxemensis umbrans,Coosa Creekshell,G1,S2,--,"Rare, Not State Listed",Riffles of headwater creeks/small rivers in gravel/sand subst.; often assoc. with Justicia amer.; Conasauga R drainage; Ridge & Valley.,Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Vertebrate Animal,Fish,Cyprinella caerulea,Blue Shiner,G2,S1,LT,T,"Cool, clear, small to medium-sized rivers over firm substrates.",Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Invertebrate Animal,Mollusc,Hamiota altilis,Finelined Pocketbook,G2G3,S1S2,LT,T,"Creeks/small rivers with substrates of sand, mud, & gravel, & mod current; Conasauga River & Coahulla Ck; Polk & Bradley counties.",Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Vertebrate Animal,Fish,Percina kathae,Mobile Logperch,G4,S2S3,--,"Rare, Not State Listed","Pool areas, deep riffles, & runs; Conasauga River & its larger tributaries.",Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Vertebrate Animal,Fish,Etheostoma brevirostrum,Holiday Darter,G2,S1,--,T,Bedrock & gravel pools of creeks and small to medium rivers; Conasauga River watershed.,Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Invertebrate Animal,Mollusc,Villosa nebulosa,Alabama Rainbow,G3,S2,--,"Rare, Not State Listed",Creeks-medium size rivers in sand/gravel riffles in mod current; assoc. with Justicia americana; Conasauga R system; Ridge & Valley.,Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Invertebrate Animal,Mollusc,Ptychobranchus foremanianus,Rayed Kidneyshell (= Triangular Kidneyshell),G1,S1,LE,E,Medium sized rivers with good current and coarse sand/gravel substrates; Conasauga River; Bradley & Polk counties.,Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Vertebrate Animal,Fish,Phenacobius catostomus,Riffle Minnow,G4,S2,--,D,Gravel and rubble-bottomed runs and riffles of creeks and small to medium rivers; Conasauga River watershed.,Aquatic
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Invertebrate Animal,Mollusc,Strophitus connasaugaensis,Alabama Creekmussel,G3,S1,--,"Rare, Not State Listed","Small-medium sized rivers, in shallow areas with current and substrates of of fine gravel, sand, & silt; Conasauga River; Polk County.",Aquatic
