Huc 8,Huc 8 Name,Huc 12,Huc 12 Name,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed Status,State Status,Habitat Description,Wet Habitat Flag
5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Other Type,Chaetaspis mollis,A Cave Millipede,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; central Cumberland Plateau; Van Buren County.,Upland
5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Other Type,Chaetaspis sp. 1,A Cave Millipede From Thunder Run Cave (TN),G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; wet caves of central Cumberland Plateau; Van Buren County; known from a single cave at present.,Upland
5130101,Clear Fork of the Cumberland River,51301010605,Elk Creek,Invertebrate Animal,Insect,Pseudanophthalmus scutilus,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Cumberland Mountains.,Upland
5130106,Cordell Hull,51301060205,Blackburn Fork,Invertebrate Animal,Insect,Batrisodes pannosus,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim.,Upland
5130107,Collins River,51301070304,Scott Creek,Invertebrate Animal,Insect,Pseudanophthalmus templetoni,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Collins River basin.,Upland
5130107,Collins River,51301070306,Collins River Middle,Invertebrate Animal,Insect,Pseudanophthalmus templetoni,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Collins River basin.,Upland
5130107,Collins River,51301070307,Collins River Lower,Invertebrate Animal,Insect,Pseudanophthalmus templetoni,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Collins River basin.,Upland
5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Pseudanophthalmus vanburenensis,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
5130108,Caney Fork River,51301080503,Lower Rocky River,Invertebrate Animal,Insect,Pseudanophthalmus vanburenensis,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Insect,Pseudanophthalmus vanburenensis,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
5130205,Lake Barkley,51302050202,Yellow Creek Middle,Invertebrate Animal,Insect,Batrisodes gemmoides,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Western Highland Rim; reported from Dickson County.,Upland
5130205,Lake Barkley,51302050202,Yellow Creek Middle,Invertebrate Animal,Insect,Batrisodes gemmus,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Western Highland Rim; reported from Dickson County.,Upland
6030003,Upper Elk River,60300030602,Beans Creek Lower,Invertebrate Animal,Insect,Ptomaphagus fecundus,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Franklin County; Highland Rim escarpment.,Upland
6040003,Lower Duck River,60400030302,Sugar Creek,Invertebrate Animal,Insect,Batrisodes ferulifer,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Tennessee; Central Basin; reported from Maury County.,Upland
6040004,Buffalo River,60400040303,Buffalo River-Short Creek,Invertebrate Animal,Insect,Pseudanophthalmus hesperus,A Cave Obligate Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Western Highland Rim.,Upland
5130106,Cordell Hull,51301060305,Flynn Lick Creek,Invertebrate Animal,Other Type,Pseudotremia lethe,A Cave Obligate Millipede,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; wet caves of northern Central Basin abutting Eastern Highland Rim; Jackson County.,Upland
5130106,Cordell Hull,51301060306,Martin Creek,Invertebrate Animal,Other Type,Pseudotremia lethe,A Cave Obligate Millipede,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; wet caves of northern Central Basin abutting Eastern Highland Rim; Jackson County.,Upland
5130108,Caney Fork River,51301080805,Dry Creek,Invertebrate Animal,Other Type,Pseudotremia lictor,A Cave Obligate Millipede,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim; DeKalb County.,Upland
5130108,Caney Fork River,51301080805,Dry Creek,Invertebrate Animal,Other Type,Pseudotremia cercops,A Cave Obligate Millipede,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim escarpment; reported from Dekalb County.,Upland
5130105,Obey River,51301050201,Upper West Fork Obey River,Invertebrate Animal,Arachnid,Kleptochthonius pluto,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim.,Upland
5130105,Obey River,51301050302,Big Eagle Creek,Invertebrate Animal,Arachnid,Kleptochthonius pluto,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim.,Upland
5130105,Obey River,51301050303,Ashburn Creek-Obey River,Invertebrate Animal,Arachnid,Kleptochthonius rex,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim.,Upland
5130105,Obey River,51301050406,Sulphur Creek-Wolf River,Invertebrate Animal,Arachnid,Tyrannochthonius steevesi,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; northernmost Eastern Highland Rim; known from one cave in Pickett County.,Upland
5130105,Obey River,51301050502,Mitchell Creek,Invertebrate Animal,Arachnid,Kleptochthonius pluto,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim.,Upland
5130106,Cordell Hull,51301060101,Mill Creek,Invertebrate Animal,Arachnid,Kleptochthonius pluto,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim.,Upland
5130106,Cordell Hull,51301060306,Martin Creek,Invertebrate Animal,Arachnid,Kleptochthonius stygius,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim.,Upland
5130108,Caney Fork River,51301080805,Dry Creek,Invertebrate Animal,Arachnid,Kleptochthonius myopius,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Eastern Highland Rim.,Upland
6020004,Sequatchie River,60200040101,Grassy Cove,Invertebrate Animal,Arachnid,Kleptochthonius infernalis,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Grassy Cove; Cumberland County.,Upland
6030002,Wheeler Lake,60300020103,Estill Fork,Invertebrate Animal,Arachnid,Tyrannochthonius fiskei,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; reported from one cave in the S Cumberlands; Franklin County.,Upland
6030003,Upper Elk River,60300030203,Mud Creek,Invertebrate Animal,Arachnid,Kleptochthonius magnus,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; southern Cumberlands.,Upland
6030003,Upper Elk River,60300030203,Mud Creek,Invertebrate Animal,Arachnid,Kleptochthonius tantalus,A Cave Obligate Pseudoscorpion,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; southern Cumberlands.,Upland
5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Onychiurus sp. 2,A Cave Obligate Springtail From TN,G1,S1,--,"Rare, Not State Listed","Terrestrial cave obligate, middle Cumberlands; reported from a single cave in Van Buren County.",Upland
5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Neanura sp. 1,A Cave Obligate Springtail From TN,G1,S1,--,"Rare, Not State Listed","Terrestrial cave obligate; Rumbling Falls area, Van Buren Co; known from a single cave.",Upland
5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Arrhopalites sp. 4,A Cave Springtail (species 1),G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Insect,Pseudosinella sp. 5,A Cave Springtail From Swamp River Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
5130108,Caney Fork River,51301080303,Caney Fork River-Clifty Creek,Invertebrate Animal,Insect,Pseudosinella sp. 5,A Cave Springtail From Swamp River Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Insect,Pseudosinella sp. 5,A Cave Springtail From Swamp River Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; middle Cumberlands.,Upland
5130108,Caney Fork River,51301080601,Caney Fork River-Rocky River,Invertebrate Animal,Arachnid,Theromaster sp. 1,A Harvestman From Cummings Cove Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave associate; known from one cave in the Cumberland Plateau; Van Buren County.,Upland
5130105,Obey River,51301050106,Buffalo Cove Creek,Invertebrate Animal,Arachnid,Appaleptoneta sp. 1,A Leptonetid Spider From Ghost River Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; reported from the northern Cumberlands.,Upland
5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Arachnid,Appaleptoneta sp. 1,A Leptonetid Spider From Ghost River Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; reported from the northern Cumberlands.,Upland
5130108,Caney Fork River,51301080303,Caney Fork River-Clifty Creek,Invertebrate Animal,Arachnid,Appaleptoneta sp. 1,A Leptonetid Spider From Ghost River Cave,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; reported from the northern Cumberlands.,Upland
5130108,Caney Fork River,51301080305,Caney Fork River-Suggs Branch,Invertebrate Animal,Insect,Aloconota diversiseta,A Rove Beetle,G1,S1,--,"Rare, Not State Listed",Terrestrial cave obligate; Cumberland Plateau.,Upland
