,Huc_8,Watershed,Huc_12,Huc_12Name,Type,Category,Scientific_Name,Common_Name,Global_Rank,State_Rank,Fed_Status,State_Status,Habitat,Wet_Habitat_Flag
1121,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Mollusc,Pleuronaia gibberum,Cumberland Pigtoe,G1,S1,LE,E,"Shallow areas in small-medium rivers in riffles with sand and gravel substrates; tribs of Cumberland River & poss TN R, middle Tenn.",Aquatic
1123,5130108,Caney Fork River,51301080205,Cane Creek Lower,Invertebrate Animal,Mollusc,Pegias fabula,Littlewing Pearlymussel,G1,S1,LE,E,"Cool, clear, high-gradient streams in sand, gravel, and cobble substrates, riffles; portions of Cumberland & upper Tenn. river systems.",Aquatic
1149,5130108,Caney Fork River,51301080205,Cane Creek Lower,Vertebrate Animal,Fish,Etheostoma akatulo,Bluemask (Jewel) Darter,G1,S1,LE,E,Streams with slow to moderate current over clean sand and fine gravel; Caney Fork River system (above Great Falls Reservoir).,Aquatic
1203,5130108,Caney Fork River,51301080305,Caney Fork River-Suggs Branch,Vertebrate Animal,Fish,Etheostoma akatulo,Bluemask (Jewel) Darter,G1,S1,LE,E,Streams with slow to moderate current over clean sand and fine gravel; Caney Fork River system (above Great Falls Reservoir).,Aquatic
1223,5130108,Caney Fork River,51301080402,Calfkiller River Upper,Invertebrate Animal,Mollusc,Pleuronaia gibberum,Cumberland Pigtoe,G1,S1,LE,E,"Shallow areas in small-medium rivers in riffles with sand and gravel substrates; tribs of Cumberland River & poss TN R, middle Tenn.",Aquatic
1234,5130108,Caney Fork River,51301080403,Calfkiller River Middle,Invertebrate Animal,Mollusc,Pleuronaia gibberum,Cumberland Pigtoe,G1,S1,LE,E,"Shallow areas in small-medium rivers in riffles with sand and gravel substrates; tribs of Cumberland River & poss TN R, middle Tenn.",Aquatic
1239,5130108,Caney Fork River,51301080404,Calfkiller River Middle,Invertebrate Animal,Mollusc,Pleuronaia gibberum,Cumberland Pigtoe,G1,S1,LE,E,"Shallow areas in small-medium rivers in riffles with sand and gravel substrates; tribs of Cumberland River & poss TN R, middle Tenn.",Aquatic
1243,5130108,Caney Fork River,51301080405,Calfkiller River Lower,Invertebrate Animal,Mollusc,Pleuronaia gibberum,Cumberland Pigtoe,G1,S1,LE,E,"Shallow areas in small-medium rivers in riffles with sand and gravel substrates; tribs of Cumberland River & poss TN R, middle Tenn.",Aquatic
1245,5130108,Caney Fork River,51301080405,Calfkiller River Lower,Vertebrate Animal,Fish,Etheostoma akatulo,Bluemask (Jewel) Darter,G1,S1,LE,E,Streams with slow to moderate current over clean sand and fine gravel; Caney Fork River system (above Great Falls Reservoir).,Aquatic
1268,5130108,Caney Fork River,51301080503,Lower Rocky River,Vertebrate Animal,Fish,Etheostoma akatulo,Bluemask (Jewel) Darter,G1,S1,LE,E,Streams with slow to moderate current over clean sand and fine gravel; Caney Fork River system (above Great Falls Reservoir).,Aquatic
