Huc 8,Huc 8 Name,Huc 12,Huc 12 Name,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed Status,State Status,Habitat Description,Wet Habitat Flag
3150101,Conasauga River,31501010101,Headwaters Conasuaga River,Invertebrate Animal,Mollusc,Ptychobranchus foremanianus,Rayed Kidneyshell (= Triangular Kidneyshell),G1,S1,LE,E,Medium sized rivers with good current and coarse sand/gravel substrates; Conasauga River; Bradley & Polk counties.,Aquatic
3150101,Conasauga River,31501010102,Jacks River,Vertebrate Animal,Fish,Percina jenkinsi,Conasauga Logperch,G1,S1,LE,E,Deep gravel runs or pools with small stones & sandy bottoms; Conasauga and Jacks rivers; Conasauga River watershed.,Aquatic
3150101,Conasauga River,31501010102,Jacks River,Invertebrate Animal,Mollusc,Ptychobranchus foremanianus,Rayed Kidneyshell (= Triangular Kidneyshell),G1,S1,LE,E,Medium sized rivers with good current and coarse sand/gravel substrates; Conasauga River; Bradley & Polk counties.,Aquatic
3150101,Conasauga River,31501010103,Ball Play Creek-Conasauga River,Invertebrate Animal,Mollusc,Pleurobema hanleyianum,Georgia Pigtoe,G1,S1,LE,E,Medium sized rivers with good current and coarse sand/gravel substrates; Conasauga River; Bradley & Polk counties.,Aquatic
3150101,Conasauga River,31501010103,Ball Play Creek-Conasauga River,Invertebrate Animal,Mollusc,Ptychobranchus foremanianus,Rayed Kidneyshell (= Triangular Kidneyshell),G1,S1,LE,E,Medium sized rivers with good current and coarse sand/gravel substrates; Conasauga River; Bradley & Polk counties.,Aquatic
3150101,Conasauga River,31501010103,Ball Play Creek-Conasauga River,Vertebrate Animal,Fish,Percina jenkinsi,Conasauga Logperch,G1,S1,LE,E,Deep gravel runs or pools with small stones & sandy bottoms; Conasauga and Jacks rivers; Conasauga River watershed.,Aquatic
3150101,Conasauga River,31501010103,Ball Play Creek-Conasauga River,Invertebrate Animal,Mollusc,Pleurobema georgianum,Southern Pigtoe,G1,S1,LE,E,High quality small rivers & large streams; shoals and runs with stable sandy-gravel substrates; Conasauga River; Polk & Bradley cos.,Aquatic
3150101,Conasauga River,31501010104,Old Fort Creek-Mill Creek,Invertebrate Animal,Mollusc,Pleurobema georgianum,Southern Pigtoe,G1,S1,LE,E,High quality small rivers & large streams; shoals and runs with stable sandy-gravel substrates; Conasauga River; Polk & Bradley cos.,Aquatic
3150101,Conasauga River,31501010105,Perry Creek-Conasuaga River,Vertebrate Animal,Fish,Percina jenkinsi,Conasauga Logperch,G1,S1,LE,E,Deep gravel runs or pools with small stones & sandy bottoms; Conasauga and Jacks rivers; Conasauga River watershed.,Aquatic
3150101,Conasauga River,31501010105,Perry Creek-Conasuaga River,Invertebrate Animal,Mollusc,Pleurobema georgianum,Southern Pigtoe,G1,S1,LE,E,High quality small rivers & large streams; shoals and runs with stable sandy-gravel substrates; Conasauga River; Polk & Bradley cos.,Aquatic
